This is the Log File of datestart Time 2022-04-01 18:40:32
g++ -g main_noCudaGraph.cpp -o executable -I/opt/spack/opt/spack/linux-debian10-x86_64/gcc-8.3.0/cuda-11.0.1-zf2qnnopvhmxs2my3de44qlqhedgwja7/include -L/opt/spack/opt/spack/linux-debian10-x86_64/gcc-8.3.0/cuda-11.0.1-zf2qnnopvhmxs2my3de44qlqhedgwja7/lib64 -lcublas -lcurand -fopenmp -lcudart
----- run GEMM 1280 x 1280, BS=64
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001293 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
----- run GEMM 1280 x 1280, BS=256
Elapsed time for execution without CUDA graph:0.000657 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000735 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000565 (s)
Elapsed time for execution without CUDA graph:0.000565 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000568 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000569 (s)
Elapsed time for execution without CUDA graph:0.000565 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
