This is the Log File of datestart Time 2022-04-11 08:18:41
----- run GEMM 1280 x 1280, BS=64
Elapsed time for execution without CUDA graph:0.001289 (s)
Elapsed time for execution without CUDA graph:0.001293 (s)
Elapsed time for execution without CUDA graph:0.001294 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001293 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001289 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001293 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001289 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001289 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
