index,time,kernel,dimension,blocksize,operation
60,7.42791,11664,34560,320,launch
61,7.43963,11664,34560,320,launch
62,7.44185,11664,34560,320,launch
63,7.44336,11664,34560,320,launch
64,7.44174,11664,34560,320,launch
65,7.44142,11664,34560,320,launch
66,7.43979,11664,34560,320,launch
67,7.43963,11664,34560,320,launch
68,7.4386,11664,34560,320,launch
69,7.44112,11664,34560,320,launch
70,7.4396,11664,34560,320,launch
71,7.44232,11664,34560,320,launch
72,7.43967,11664,34560,320,launch
73,7.44295,11664,34560,320,launch
74,7.44108,11664,34560,320,launch
75,7.43929,11664,34560,320,launch
76,7.43982,11664,34560,320,launch
77,7.44072,11664,34560,320,launch
78,7.44316,11664,34560,320,launch
79,7.4404,11664,34560,320,launch
80,7.42964,11664,34560,320,launch
81,7.44126,11664,34560,320,launch
82,7.44057,11664,34560,320,launch
83,7.44185,11664,34560,320,launch
84,7.44024,11664,34560,320,launch
85,7.43975,11664,34560,320,launch
86,7.44233,11664,34560,320,launch
87,7.4409,11664,34560,320,launch
88,7.4404,11664,34560,320,launch
89,7.44032,11664,34560,320,launch
90,7.44237,11664,34560,320,launch
91,7.4409,11664,34560,320,launch
92,7.44109,11664,34560,320,launch
93,7.442,11664,34560,320,launch
94,7.44323,11664,34560,320,launch
95,7.44035,11664,34560,320,launch
96,7.44386,11664,34560,320,launch
97,7.44213,11664,34560,320,launch
98,7.44053,11664,34560,320,launch
99,7.44428,11664,34560,320,launch
100,7.43069,11664,34560,320,launch
101,7.43989,11664,34560,320,launch
102,7.44009,11664,34560,320,launch
103,7.44065,11664,34560,320,launch
104,7.44343,11664,34560,320,launch
105,7.44363,11664,34560,320,launch
106,7.44208,11664,34560,320,launch
107,7.44292,11664,34560,320,launch
108,7.44197,11664,34560,320,launch
109,7.442,11664,34560,320,launch
110,7.44106,11664,34560,320,launch
111,7.43994,11664,34560,320,launch
112,7.44521,11664,34560,320,launch
113,7.4397,11664,34560,320,launch
114,7.44385,11664,34560,320,launch
115,7.44,11664,34560,320,launch
116,7.44154,11664,34560,320,launch
