index,time,kernel,dimension,blocksize
57,0.131275,784,8960,320
57,0.143221,1225,8960,256
57,0.173221,4900,8960,128
57,0.370706,19600,8960,64
58,0.0918327,49,8960,1280
58,0.100748,196,8960,640
58,0.131967,784,8960,320
58,0.143157,1225,8960,256
58,0.173238,4900,8960,128
58,0.370663,19600,8960,64
59,0.0909203,49,8960,1280
59,0.101276,196,8960,640
59,0.133391,784,8960,320
59,0.1425,1225,8960,256
59,0.17324,4900,8960,128
59,0.370674,19600,8960,64
60,0.0894714,49,8960,1280
60,0.10204,196,8960,640
60,0.131483,784,8960,320
60,0.143599,1225,8960,256
60,0.173215,4900,8960,128
60,0.370664,19600,8960,64
61,0.0898656,49,8960,1280
61,0.100976,196,8960,640
61,0.132492,784,8960,320
61,0.142893,1225,8960,256
61,0.173232,4900,8960,128
61,0.370698,19600,8960,64
62,0.0893388,49,8960,1280
62,0.10036,196,8960,640
62,0.131144,784,8960,320
62,0.143288,1225,8960,256
62,0.173242,4900,8960,128
62,0.37072,19600,8960,64
63,0.0898653,49,8960,1280
63,0.100369,196,8960,640
63,0.1312,784,8960,320
63,0.143275,1225,8960,256
63,0.173209,4900,8960,128
63,0.370701,19600,8960,64
64,0.0894752,49,8960,1280
64,0.100356,196,8960,640
64,0.131086,784,8960,320
64,0.143191,1225,8960,256
64,0.1732,4900,8960,128
64,0.370706,19600,8960,64
65,0.0905471,49,8960,1280
65,0.10055,196,8960,640
65,0.131652,784,8960,320
65,0.143299,1225,8960,256
65,0.173249,4900,8960,128
65,0.370646,19600,8960,64
66,0.0895809,49,8960,1280
66,0.101615,196,8960,640
66,0.132862,784,8960,320
66,0.142577,1225,8960,256
66,0.173198,4900,8960,128
66,0.37073,19600,8960,64
67,0.090934,49,8960,1280
67,0.101604,196,8960,640
67,0.132058,784,8960,320
67,0.143272,1225,8960,256
67,0.173204,4900,8960,128
67,0.370734,19600,8960,64
68,0.0912053,49,8960,1280
68,0.101606,196,8960,640
68,0.133681,784,8960,320
68,0.143238,1225,8960,256
68,0.173198,4900,8960,128
68,0.37071,19600,8960,64
69,0.0912174,49,8960,1280
69,0.101605,196,8960,640
69,0.131183,784,8960,320
69,0.143203,1225,8960,256
69,0.17321,4900,8960,128
69,0.370671,19600,8960,64
70,0.0912225,49,8960,1280
70,0.101611,196,8960,640
70,0.131263,784,8960,320
70,0.143242,1225,8960,256
70,0.173208,4900,8960,128
70,0.370695,19600,8960,64
71,0.0903493,49,8960,1280
71,0.101072,196,8960,640
71,0.131154,784,8960,320
71,0.143228,1225,8960,256
71,0.173216,4900,8960,128
71,0.370685,19600,8960,64
72,0.0898655,49,8960,1280
72,0.100806,196,8960,640
72,0.131212,784,8960,320
72,0.143281,1225,8960,256
72,0.173229,4900,8960,128
72,0.370683,19600,8960,64
73,0.0895671,49,8960,1280
73,0.100376,196,8960,640
73,0.132061,784,8960,320
73,0.143186,1225,8960,256
73,0.173222,4900,8960,128
73,0.370641,19600,8960,64
74,0.0896445,49,8960,1280
74,0.100355,196,8960,640
74,0.132665,784,8960,320
74,0.143506,1225,8960,256
74,0.173225,4900,8960,128
74,0.370711,19600,8960,64
75,0.0898416,49,8960,1280
75,0.100642,196,8960,640
75,0.132165,784,8960,320
75,0.142327,1225,8960,256
75,0.173228,4900,8960,128
75,0.370673,19600,8960,64
76,0.0906331,49,8960,1280
76,0.101609,196,8960,640
76,0.132841,784,8960,320
76,0.143235,1225,8960,256
76,0.173228,4900,8960,128
76,0.37065,19600,8960,64
77,0.0898526,49,8960,1280
77,0.101617,196,8960,640
77,0.131694,784,8960,320
77,0.143281,1225,8960,256
77,0.173247,4900,8960,128
77,0.370665,19600,8960,64
78,0.0905274,49,8960,1280
78,0.101623,196,8960,640
78,0.131236,784,8960,320
78,0.143254,1225,8960,256
78,0.173237,4900,8960,128
78,0.370639,19600,8960,64
79,0.0912326,49,8960,1280
79,0.101618,196,8960,640
79,0.13119,784,8960,320
79,0.143252,1225,8960,256
79,0.17321,4900,8960,128
79,0.370703,19600,8960,64
80,0.0907247,49,8960,1280
80,0.101618,196,8960,640
80,0.131681,784,8960,320
80,0.143281,1225,8960,256
80,0.173216,4900,8960,128
80,0.370675,19600,8960,64
81,0.091241,49,8960,1280
81,0.100516,196,8960,640
81,0.133605,784,8960,320
81,0.143208,1225,8960,256
81,0.173246,4900,8960,128
81,0.370678,19600,8960,64
82,0.0902749,49,8960,1280
82,0.100358,196,8960,640
82,0.131222,784,8960,320
82,0.14323,1225,8960,256
82,0.173241,4900,8960,128
82,0.370667,19600,8960,64
83,0.0900949,49,8960,1280
83,0.10036,196,8960,640
83,0.132271,784,8960,320
83,0.142887,1225,8960,256
83,0.173229,4900,8960,128
83,0.370697,19600,8960,64
84,0.0900901,49,8960,1280
84,0.100979,196,8960,640
84,0.131827,784,8960,320
84,0.143275,1225,8960,256
84,0.173218,4900,8960,128
84,0.370633,19600,8960,64
85,0.0901075,49,8960,1280
85,0.102119,196,8960,640
85,0.131211,784,8960,320
85,0.14324,1225,8960,256
85,0.173243,4900,8960,128
85,0.370691,19600,8960,64
86,0.0900981,49,8960,1280
86,0.100489,196,8960,640
86,0.131197,784,8960,320
